URL,File Size/Bytes,Number of Links Found,Content-Type 
https://www.nytimes.com/2021/02/19/opinion/ted-cruz-texas-cancun.html,324424,55,text/html
https://www.nytimes.com/es/2021/02/15/espanol/oximetro-piel-oscura.html,295523,57,text/html
https://www.nytimes.com/2021/02/19/opinion/ezra-klein-podcast-george-saunders.html?action=click&module=audio-series-bar&region=header&pgtype=Article,317442,66,text/html
https://www.nytimes.com/column/ezra-klein-podcast,284445,54,text/html
https://www.nytimes.com/international/?action=click&region=Editions&pgtype=Homepage,1048576,94,text/html
https://www.nytimes.com/column/books-of-the-times,321716,55,text/html
https://www.nytimes.com/es/2021/02/16/espanol/carlos-menem-argentina.html,334825,51,text/html
https://www.nytimes.com/2021/02/16/opinion/ezra-klein-podcast-heather-mcghee.html?action=click&module=audio-series-bar&region=header&pgtype=Article,1048576,59,text/html
https://www.nytimes.com/2021/02/19/opinion/biden-democratic-majority-winning.html,346172,61,text/html
https://www.nytimes.com/interactive/2021/02/16/us/winter-storm-texas-power-outage-map.html,350551,51,text/html
https://www.nytimes.com/column/childrens-books,394318,70,text/html
https://www.nytimes.com/ca/?action=click&region=Footer&pgtype=Homepage,1048576,94,text/html
https://www.nytimes.com/2020/11/18/us/newsom-california-covid-french-laundry.html,310937,65,text/html
https://www.nytimes.com/es/2021/02/18/espanol/opinion/vox-elecciones-cataluna.html,293879,62,text/html
https://www.nytimes.com/video/us/100000007175316/the-david-mcatee-shooting-did-aggressive-policing-lead-to-a-fatal-outcome.html?action=click&module=video-series-bar&region=header&pgtype=Article&playlistId=video%2Finvestigations,1048576,106,text/html
https://www.nytimes.com/2021/02/19/books/review/public-libraries-life-without-parole-and-other-letters-to-the-editor.html,253042,44,text/html
https://www.nytimes.com/by/nicholas-fandos,481341,54,text/html
https://www.nytimes.com/section/food,835365,95,text/html
https://www.nytimes.com/es/spotlight/elecciones-2020,745071,88,text/html
https://www.nytimes.com/2021/02/18/books/review/what-doesnt-kill-you-tessa-miller-pedros-theory-marcos-gonsalez-featherhood-charlie-gilmour.html,265405,40,text/html
https://www.nytimes.com/es/2021/02/15/espanol/trump-impeachment-capitolio.html,437617,70,text/html
https://www.nytimes.com/2021/02/19/science/medical-school-residency-doctors.html,358096,48,text/html
https://www.nytimes.com/2021/02/17/us/texas-winter-storm.html?referringSource=articleShare,394486,55,text/html
https://www.nytimes.com/section/style,1048576,182,text/html
https://www.nytimes.com/es/2021/02/15/espanol/opinion/elecciones-ecuador-lasso-perez.html,314251,59,text/html
https://www.nytimes.com/elections/results/texas-senate,331919,84,text/html
https://www.nytimes.com/video/us/100000007560342/we-took-over-the-capitol-tracking-the-oath-keepers-charged-with-conspiracy.html?action=click&module=video-series-bar&region=header&pgtype=Article&playlistId=video%2Finvestigations,1048576,106,text/html
https://www.nytimes.com/privacy/cookie-policy,100125,37,text/html
https://www.nytimes.com/es/2021/02/17/espanol/covid-ninos.html,400074,57,text/html
https://www.nytimes.com/column/bookends,226555,56,text/html
https://www.nytimes.com/live/2021/02/19/us/winter-storm-weather-live,532091,79,text/html
https://www.nytimes.com/es/interactive/2021/health/sputnik-vacuna-covid.html,374191,59,text/html
https://www.nytimes.com/2021/02/17/climate/texas-blackouts-disinformation.html,398260,63,text/html
https://www.nytimes.com/2021/02/12/books/review/podcast-simon-winchester-land-amelia-pang-made-in-china.html,340148,75,text/html
